location,parameter,dss file,dss path
North Fork abv MF,FLOW-IN,forecast/simGroups/T2018/bc.dss,//North Fork abv MF/FLOW-IN//1DAY/Mar50-H-2018/
Middle Fork abv NF,FLOW-IN,forecast/simGroups/T2018/bc.dss,//Middle Fork abv NF/FLOW-IN//1DAY/Mar50-H-2018/
LOWER RIVER OUTLET USEAGE,,forecast/simGroups/T2018/bc.dss,/FOLSOM/LOWER RIVER OUTLET USEAGE/COUNT//1DAY/Mar50-H-2018/
Folsom-SF-in,TEMP-WATER,forecast/simGroups/T2018/bc.dss,//Folsom-SF-in/TEMP-WATER//1DAY/Mar50-H-2018/
Folsom-NF-in,TEMP-WATER,forecast/simGroups/T2018/bc.dss,//Folsom-NF-in/TEMP-WATER//1DAY/Mar50-H-2018/
South Canal,TEMP-WATER,forecast/simGroups/T2018/bc.dss,//South Canal/TEMP-WATER//1DAY/Mar50-H-2018/
CARMICHAEL,FLOW-MUNICIPAL,forecast/simGroups/T2018/bc.dss,/AMERICAN RIVER/CARMICHAEL/FLOW-MUNICIPAL//1DAY/Mar50-H-2018/
SACRAMENTO,FLOW-MUNICIPAL,forecast/simGroups/T2018/bc.dss,/AMERICAN RIVER/SACRAMENTO/FLOW-MUNICIPAL//1DAY/Mar50-H-2018/
ZERO-BY-DAY,FLOW-ZERO,forecast/simGroups/T2018/bc.dss,//ZERO-BY-DAY/FLOW-ZERO//1DAY/Mar50-H-2018/
ZERO-BY-HOUR,FLOW-ZERO,forecast/simGroups/T2018/bc.dss,//ZERO-BY-HOUR/FLOW-ZERO//1Hour/Mar50-H-2018/
